Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.989013671875,0.097900390625,0.040283203125,4.69970703125,-3.5400390625,-4.638671875,-18,-21
-0.98046875,0.093017578125,0.030029296875,5.79833984375,-5.859375,-11.8408203125,-20,-21
-0.991943359375,0.0230712890625,0.0614013671875,21.30126953125,-14.892578125,-25.0244140625,-19,-20
-0.970947265625,-0.0836181640625,0.1336669921875,20.01953125,-20.81298828125,-14.22119140625,-17,-21
-0.953857421875,-0.162109375,0.2825927734375,38.2080078125,-41.56494140625,-22.52197265625,-15,-19
-0.7904052734375,-0.14208984375,0.580322265625,17.9443359375,-33.203125,-15.0146484375,-12,-18
-0.6837158203125,-0.186279296875,0.7315673828125,-0.1220703125,-19.4091796875,-1.89208984375,-9,-18
-0.6192626953125,-0.190673828125,0.759521484375,7.9345703125,-4.39453125,-1.0986328125,-10,-21
-0.6046142578125,-0.1639404296875,0.7415771484375,1.40380859375,-0.91552734375,-0.8544921875,-11,-18
-0.6397705078125,-0.1572265625,0.7386474609375,0.6103515625,-2.197265625,-2.25830078125,-13,-20
-0.6474609375,-0.1861572265625,0.7291259765625,0.3662109375,-4.7607421875,-2.8076171875,-13,-21
-0.6539306640625,-0.1763916015625,0.7491455078125,1.52587890625,-2.5634765625,-1.8310546875,-11,-21
-0.6214599609375,-0.195556640625,0.754638671875,3.11279296875,-0.06103515625,-2.62451171875,-13,-21
-0.64794921875,-0.1588134765625,0.7529296875,-7.99560546875,13.0615234375,9.33837890625,-12,-21
-0.721923828125,-0.185302734375,0.6197509765625,-10.25390625,24.90234375,15.44189453125,-17,-21
-0.857177734375,-0.1483154296875,0.4093017578125,-54.26025390625,23.25439453125,18.5546875,-24,-20
-0.9727783203125,-0.2198486328125,0.1630859375,-42.29736328125,19.6533203125,18.12744140625,-23,-21
-0.9866943359375,-0.138671875,0.040771484375,-32.71484375,5.79833984375,17.76123046875,-23,-19
-0.9981689453125,0.0308837890625,0.0321044921875,-12.75634765625,-4.150390625,12.75634765625,-23,-19
-0.9842529296875,0.10205078125,0.03759765625,5.4931640625,-5.9814453125,1.89208984375,-22,-21
